,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin,Clarithromycin,Doxycycline,Enrofloxacin,Erythromycin_H2O,Lincomycin,Ofloxacin,Oxytetracycline,Roxythromycin,Sulfadiazine,Sulfamethazine,Sulfamethoxazole,Trimethoprim,pH,Salinity,DOC,DO,Temperature,NO3,PO4
1,0,0,0.201209512,0.842948718,0.736778846,2.332016359,0.493626143,0.341770699,0.526393262,0.25668241,3.755050505,0.362052551,1.179021184,0,0,2.731052036,0,1.542088378,0.566061974,8.23,27,6.331,9.67,30.8,0.1,0.016
2,0,0,0,1.879714577,0.131498471,2.419130335,0.717225852,0.327876935,0.735723666,0,1.834834835,0.261195386,0.528963699,0.152472641,0,1.43267674,0,1.54694657,0.45587416,8.29,21,10.95,9.71,30.9,0.06,0.014
3,0,0,0,1.714025501,0.082650273,2.03918095,0.508581534,0.260125105,0.500258553,0,2.3469163,0.121043662,0.221891288,0.175296463,0,1.971070395,0,1.323691902,0.515630185,8.31,24,12.46,9.66,30.9,0.07,0.012
4,0,0,0.399612403,0,0.470750552,2.499817489,0.511310532,0.33318749,0.56531239,0,3.308139535,0,0.41724116,0,0.01393766,0.744156603,0,1.452754583,0.38921361,8.34,21,6.762,9.68,31,0.06,0.015
5,0,0,0.587777778,0,0.468621399,1.932676905,2.648535151,0.289198318,0.560446165,0.105713178,3.342592593,0,0.491306458,0,0,1.519789397,0,1.328278762,0.34482931,8.21,26,15.53,9.78,30.9,0.08,0.01
6,0,0,0.604200965,0,0.824874687,1.874831361,1.237993299,0.479965837,0.59374652,0,2.63034188,0.036737884,1.350742829,0,0.028144765,0.746682884,0,1.580436757,0.38109951,8.26,26,4.458,10.11,30.4,0.08,0.021
7,0,0,0.843690355,0.609562524,0.325493612,1.932705947,0.977267449,0.454427438,0.668968131,0,2.445402299,0,1.090707622,0,0,0.846331215,0,1.301837289,0.630711394,8.32,15,3.433,8.7,30.5,0.13,0.017
8,0,0,0.220552153,0.980676329,0.467391304,3.018755347,0,0.434130346,0.848603212,0,3.04930192,0.212799541,1.074136545,0,0,0.677536232,0,1.286203221,0.54060318,8.05,25,10.04,8.1,30.5,0.16,0.037
9,0,0,0.328606965,1.209634105,0.401057402,2.198737309,1.964309088,0.503108924,0.65085093,0,2.1513267,0,1.066653743,0.176594532,0,0.876177359,0,1.422402469,0.539849799,7.84,20,6.759,8.14,30.6,0.09,0.011
10,0,0,0.406770833,1.72875817,0.25432526,2.319285729,1.275593677,0.563979238,0.663761881,0,3.171875,0.148960225,1.288310139,0,0,0.529157338,0,1.611691991,0.428582436,8.35,17,8.201,8.07,30.8,0.03,0.012
