ID,pH,Salinity,DOC,DO,Temperature,NO3,PO4,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin
A1,-1.528764827,0.052768081,-0.089346,-0.84076045,-0.180199495,-0.031854559,-0.673656023,-1.169235736,-0.594967472,-0.00750656,-1.046678429,-0.159911371,-0.127659385,-0.071976693
A2,-1.567767192,1.290850607,-0.09156569,-0.739953424,-0.180302321,-0.125680155,-0.492939113,-1.121381902,-0.232057244,-0.065558455,-0.985437199,0.08095332,-0.00976867,-0.094868934
A3,-1.528764827,1.294083199,-0.054718828,-0.723694226,-0.178348633,-0.200740631,-0.563217911,-1.151097322,-0.387804041,-0.186122015,-0.807854085,0.034414389,-0.082049703,-0.232990794
A4,-1.567767192,1.298932086,-0.177467713,-0.785479177,-0.174749734,-0.153827833,-0.603377225,-0.805027596,-0.374327714,-0.357246941,-0.258140419,0.08614869,-0.08543577,-0.396975891
A5,-1.606769557,1.289234312,-0.175691961,-0.788731017,-0.144518981,-0.144445274,-0.723855165,-1.23532759,-0.393165855,-0.069259421,-1.23176273,0.088707286,0.007759528,-0.164762043
A6,-0.982731719,1.176093611,0.33639064,-0.7627163,-0.066679932,-0.247653429,-0.502978941,-0.877481125,-0.257346796,-0.233859909,-0.38441802,-0.017382544,-0.073362448,-0.268361814
A7,-1.138741178,1.180942498,0.327289909,-0.804990215,-0.069147749,-0.200740631,-0.583297568,-0.939013699,-0.222066697,-0.095535428,-0.822568892,-0.09604884,-0.11610157,-0.118843635
A8,-1.138741178,1.180942498,0.412969962,-0.791982856,0.033677942,-0.210123191,-0.51301877,-1.141670906,-0.365039854,-0.059617664,-0.783403237,-0.139387851,-0.089356641,-0.175636866
A9,-1.216745908,1.166395837,-0.342834656,-0.817997573,-0.071924043,-0.273924596,-0.81421362,-0.716141703,-0.145719094,-0.27049878,-0.168151209,-0.037608774,-0.112828799,-0.37247301
A10,-1.177743543,1.227815074,-0.218753957,-0.938315636,-0.082206612,-0.22888831,-0.824253448,-0.908966796,-0.114895637,-0.237931598,-0.449344405,0.059957428,-0.070490142,-0.338952598
A11,-0.748717529,1.056487727,-0.60631192,-0.496065458,-0.521066662,-0.181975512,-0.211823919,-1.158078988,-0.365363099,-0.334807267,-0.892906139,0.20510976,-0.078575638,-0.226918522
