Functional_Zone	Denitrification	DNR
Beach	-5.892725837	-7.811288675
Beach	-9.566413361	-10.96662595
Beach	-7.821740589	-9.302550256
Beach	-5.887572746	-8.175365082
Beach	-8.48938932	-10.13657301
Mariculture	-10.83155817	-12.49023968
Mariculture	-5.074311435	-7.021396606
Mariculture	-8.587734731	-10.50504215
Mariculture	-9.400158024	-10.77322299
Mariculture	-9.282730831	-10.57635811
Mariculture	-4.752583514	-4.313276722
Mariculture	-3.655565459	-3.556794272
Mariculture	-6.538807065	-6.503524643
Mariculture	-3.645372995	-1.404355998
Estuary	-3.423076787	-3.432098745
Estuary	1.949808694	1.052631329
Estuary	3.104730469	3.635902558
Estuary	-1.831052512	-1.833598358
Estuary	-2.357127127	-3.258614087
Port	-6.352877158	-8.398509441
Port	-4.035202114	-6.553121684
Port	-7.975064388	-9.335309201
Port	-12.30587591	-14.08783695
Port	-10.10814535	-12.06027685
Reserve	-3.780958194	-5.908516908
Reserve	-8.875828404	-10.91932616
Reserve	-11.51693513	-12.30331917
Reserve	-8.486607972	-9.667577981
WWTP	-2.484362478	-3.392401071
WWTP	8.587487565	10.65702697
WWTP	14.08957771	19.45319389
WWTP	28.48194279	33.66879773
