Functional_Zone	Denitrification	DNR
Beach	-1.693262419	-2.002239066
Beach	2.753741465	0.707894329
Beach	-0.129262055	-1.266644416
Beach	-2.36640723	-3.159944703
Beach	3.260286311	2.124632205
Mariculture	-7.1142119	-8.393729809
Mariculture	0.914938998	-0.734972721
Mariculture	-4.534336335	-5.479087128
Mariculture	0.965221154	-0.776897618
Mariculture	-3.589941941	-5.454969595
Mariculture	-4.388594802	-2.677793528
Mariculture	-1.385707379	0.521429117
Mariculture	3.562017364	4.64024413
Mariculture	-0.4503841	0.290508233
Estuary	-5.466814611	-4.599365837
Estuary	-10.01218802	-10.15230806
Estuary	-11.71627496	-12.23681669
Estuary	-7.178794196	-6.105480611
Estuary	-7.825358745	-7.925971312
Port	2.070537868	1.150420446
Port	2.43554154	1.216806461
Port	4.389160577	3.183196344
Port	1.217709865	0.984618961
Port	3.66411256	1.939330343
Reserve	1.118068356	4.467167684
Reserve	2.163788204	5.703926548
Reserve	7.295520827	12.58013384
Reserve	2.409910694	5.58098509
Reserve	3.838593554	7.459079368
WWTP	22.31660891	24.57274469
WWTP	27.44642104	31.54780136
WWTP	21.98834758	32.26913352
WWTP	21.48879758	30.51993905
