Functional_Zone	Denitrification	DNR
Beach	-3.083772669	-2.576686988
Beach	-4.230978403	-3.486294881
Beach	-2.386953134	-2.067315366
Beach	-2.439704394	-2.511344249
Beach	-0.127395223	-0.289428448
Mariculture	-2.396929133	4.118244942
Mariculture	-7.13945979	-8.418248696
Mariculture	-6.276826531	-7.939311415
Mariculture	-4.232201318	-4.901105656
Mariculture	-5.586807511	-7.818746406
Estuary	-4.434834897	-6.726762392
Estuary	-7.725587916	-8.387159317
Estuary	-8.74213997	-9.663047832
Estuary	9.081818923	19.39795935
Port	-4.761468371	-3.516800636
Port	-2.19737509	0.433885273
Port	-1.661776526	-1.599323473
Port	-4.477197641	-3.068002776
Port	-5.733393917	-5.469985253
Reserve	-4.540477691	-5.624099462
Reserve	-4.16583958	-5.454791862
Reserve	-4.045312649	-5.187192786
Reserve	-8.251034952	-9.117605483
Reserve	-9.419001234	-10.05660853
WWTP	-1.277993581	-0.362711197
WWTP	-1.379564074	-0.419142048
WWTP	1.95303568	4.60151433
