Functional_Zone	Denitrification	DNR
Beach	2.062542217	2.624443253
Beach	1.01853238	2.306041735
Beach	3.989532902	4.787903733
Beach	-2.210039946	-2.580194312
Beach	5.098608711	5.033060959
Mariculture	5.104478055	4.666037605
Mariculture	12.42787038	11.06592875
Mariculture	2.408004083	1.258454856
Mariculture	16.34724717	12.49386382
Mariculture	6.12763466	6.4419718
Estuary	40.74860233	29.24044151
Estuary	22.27589707	22.8675256
Estuary	19.99826498	19.16080879
Estuary	19.51597406	19.85742582
Estuary	25.00387284	24.92398918
Port	-0.115881271	-1.384322533
Port	-3.211454276	-4.800133654
Port	-0.775264225	-2.614832347
Port	3.725275942	3.064517207
Port	6.124285214	2.553020921
Reserve	-2.494473831	-2.868187195
Reserve	-7.027038455	-7.071596027
Reserve	-1.760717118	-2.416947456
Reserve	-2.089497813	-2.498292417
Reserve	-2.279008669	-2.055380488
WWTP	-4.317368769	-4.904939093
WWTP	-4.052762217	-4.396772586
WWTP	-0.792754385	-0.782410838
WWTP	-2.042943594	-1.816597533
WWTP	0.170197801	-0.318920175
