Functional_Zone	Total Antibiotic Stress
Beach	0.794078006
Beach	0.632509817
Beach	0.548463508
Beach	0.634505113
Beach	0.683671146
Mariculture	0.723937097
Mariculture	0.635034692
Mariculture	0.719529471
Mariculture	0.664690994
Mariculture	0.640712108
Mariculture	0.46931871
Mariculture	0.646282578
Mariculture	0.451984745
Mariculture	0.561770318
Estuary	0.812572171
Estuary	0.838793335
Estuary	0.682346299
Estuary	0.520546889
Estuary	0.761239067
Port	0.776475653
Port	0.801038688
Port	0.937573803
Port	0.694657558
Port	1.066282949
Reserve	0.70439286
Reserve	0.695397344
Reserve	0.660462703
Reserve	0.531302876
WWTP	1.239565757
WWTP	1.344473972
WWTP	1.299837365
WWTP	1.586149056
