Functional_Zone	Total Antibiotic Stress
Beach	0.567922803
Beach	0.64329759
Beach	0.618034162
Beach	0.7666373
Beach	0.570006358
Mariculture	0.749395179
Mariculture	0.710114794
Mariculture	0.625687509
Mariculture	0.801992987
Mariculture	0.746662638
Mariculture	0.617658594
Mariculture	0.537120484
Mariculture	0.592075396
Mariculture	0.470792234
Estuary	0.670783589
Estuary	0.579918583
Estuary	0.752278136
Estuary	0.40802564
Estuary	0.687573104
Port	0.622291367
Port	0.567886161
Port	0.652374184
Port	0.627327229
Port	0.603980041
Reserve	0.491908022
Reserve	0.530046989
Reserve	0.584330305
Reserve	0.532768532
Reserve	0.504472034
WWTP	1.120382939
WWTP	1.151384354
WWTP	1.478108768
WWTP	1.536988973
