Functional_Zone	Total Antibiotic Stress
Beach	0.82042983
Beach	0.963695063
Beach	0.937254487
Beach	0.686330358
Beach	0.751038948
Mariculture	1.164300872
Mariculture	1.121076986
Mariculture	1.11828337
Mariculture	0.943111108
Mariculture	1.05441556
Estuary	1.110434056
Estuary	1.374576225
Estuary	1.231762933
Estuary	1.169682107
Port	0.728022976
Port	0.962311536
Port	0.580564598
Port	0.836018704
Port	0.96763097
Reserve	0.8048296
Reserve	0.660840209
Reserve	0.845798933
Reserve	0.880319894
Reserve	0.754762782
WWTP	1.168224076
WWTP	0.854267731
WWTP	0.644153907
