Functional_Zone	Total Antibiotic Stress
Beach	0.792111557
Beach	0.729828155
Beach	0.685300088
Beach	0.596564369
Beach	0.608131085
Mariculture	0.968508248
Mariculture	1.138184599
Mariculture	1.332134606
Mariculture	0.97382982
Mariculture	0.932345164
Estuary	1.690616878
Estuary	1.902046651
Estuary	1.558377129
Estuary	1.805198933
Estuary	1.560769977
Port	1.021232108
Port	1.066124896
Port	1.022234482
Port	1.122619184
Port	0.872910466
Reserve	0.899317927
Reserve	0.810058376
Reserve	1.108208735
Reserve	1.067254436
Reserve	1.083040617
WWTP	0.920317919
WWTP	1.132597461
WWTP	0.906966457
WWTP	0.994754591
WWTP	1.052779554
