,ANR,Anammox,Denitrification,DNR,Nitrifictaion,Nitrogen_Fixation,BAB,Total_Pathway
HKDryMB1,2.060254975,1.327782727,-1.693262419,-2.002239066,5.028615461,-2.492935126,-0.836162596,1.392053955
HKDryMB2,3.626986309,3.642891373,2.753741465,0.707894329,3.896077905,-1.987878228,10.10519559,22.74490874
HKDryMB3,0.053127178,1.150383745,-0.129262055,-1.266644416,5.043504711,-1.742212591,8.297925621,11.40682219
HKDryMB4,-0.970015867,0.851317552,-2.36640723,-3.159944703,5.770924754,-1.955067178,5.863306851,4.03411418
HKDryMB5,-0.191321625,2.470236728,3.260286311,2.124632205,12.02705108,-0.903582066,17.29339008,36.08069271
HKDryMCLM1,0.917312558,-3.016422339,-7.1142119,-8.393729809,-2.271925288,-2.348044048,-14.12087214,-36.34789296
HKDryMCLM2,2.670380594,2.997074811,0.914938998,-0.734972721,-1.559364166,-1.148239484,-2.189788864,0.950029167
HKDryMCLM3,1.726469921,-0.746592329,-4.534336335,-5.479087128,-1.453178301,-2.051655583,-9.990598801,-22.52897856
HKDryMCLM4,1.991234508,3.562146832,0.965221154,-0.776897618,-2.376538471,-1.086278309,-3.365168674,-1.08628058
HKDryMCLM5,1.494419106,-0.105166159,-3.589941941,-5.454969595,-2.670640316,-1.68108276,-10.42544271,-22.43282438
HKDryMCSK2,-0.854312842,-0.703554501,-4.388594802,-2.677793528,-2.349529555,0.790623742,-2.725043413,-12.9082049
HKDryMCSK3,-1.278689523,0.159227007,-1.385707379,0.521429117,-1.531483825,2.274493326,4.126212698,2.88548142
HKDryMCSK4,-0.17564615,0.169824478,3.562017364,4.64024413,-3.023419273,2.982058117,11.59523718,19.75031585
HKDryMCSK5,0.223992946,-1.535129049,-0.4503841,0.290508233,-3.188264546,2.448944382,4.906697008,2.696364875
HKDryME1,1.335675744,-0.02879399,-5.466814611,-4.599365837,-3.33046813,4.423109388,1.841100961,-5.825556476
HKDryME2,0.233847775,-3.949479743,-10.01218802,-10.15230806,-3.275834898,1.150521196,-12.85258502,-38.85802678
HKDryME3,-0.425608539,-5.450722998,-11.71627496,-12.23681669,-3.334647359,0.339560129,-19.77097616,-52.59548659
HKDryME4,-0.502091407,-2.661966398,-7.178794196,-6.105480611,-3.33993376,2.504656745,-5.799872006,-23.08348163
HKDryME5,-0.227522459,-1.883047655,-7.825358745,-7.925971312,-3.226932074,2.981524702,-4.916656518,-23.02396406
HKDryMP1,-0.601968287,5.71320769,2.070537868,1.150420446,3.379658044,-0.369391608,6.581784204,17.92424836
HKDryMP2,-0.062634439,4.044687883,2.43554154,1.216806461,2.137032746,0.30395402,8.25175086,18.32713907
HKDryMP3,0.246985405,5.53783987,4.389160577,3.183196344,0.377191508,0.23667574,10.53063298,24.50168242
HKDryMP4,-0.193933428,3.418036663,1.217709865,0.984618961,1.023826897,0.199274253,5.02840454,11.67793775
HKDryMP5,0.33101798,5.12027484,3.66411256,1.939330343,1.753671589,-0.225844879,6.54463012,19.12719255
HKDryMR1,-1.414950753,1.809624354,1.118068356,4.467167684,12.03985874,-1.583533445,12.39047829,28.82671323
HKDryMR2,-1.405734218,2.77218458,2.163788204,5.703926548,14.84076181,-1.740083139,14.47605877,36.81090256
HKDryMR3,-0.684589749,4.524532773,7.295520827,12.58013384,12.2103861,-1.737184292,18.2876457,52.47644521
HKDryMR4,-1.443807181,3.151095761,2.409910694,5.58098509,13.90207972,-1.703568511,13.63615619,35.53285177
HKDryMR5,-0.140432527,3.826920836,3.838593554,7.459079368,9.873770813,-1.075443903,16.56011079,40.34259893
HKDryWWTP1,0.260787045,15.51543263,22.31660891,24.57274469,0.329759943,7.189337014,21.10340993,91.28808017
HKDryWWTP2,0.033999966,14.89490843,27.44642104,31.54780136,0.565061077,12.72622396,20.78915477,108.0035706
HKDryWWTP3,-1.281970344,15.50500963,21.98834758,32.26913352,1.884111927,20.28174662,22.44742633,113.0938053
HKDryWWTP4,-1.008291315,15.67725107,21.48879758,30.51993905,2.114590241,16.56689973,22.48460414,107.8437905
HKWetMB1,0.361594039,-3.190076133,-5.892725837,-7.811288675,-2.056335942,0.519320338,1.749172552,-16.32033966
HKWetMB2,-1.093340291,-6.711690817,-9.566413361,-10.96662595,-1.617237923,-0.115411405,-7.507203978,-37.57792372
HKWetMB3,-1.071483873,-5.038028261,-7.821740589,-9.302550256,1.172119153,0.260083514,-2.672683309,-24.47428362
HKWetMB4,0.801529447,-3.229169241,-5.887572746,-8.175365082,-1.949915999,0.486031217,4.355866509,-13.59859589
HKWetMB5,-1.144213777,-5.579133058,-8.48938932,-10.13657301,-2.059106592,0.514794292,-2.336496804,-29.23011826
HKWetMCLM1,-0.415516234,-6.604630095,-10.83155817,-12.49023968,-1.407853669,-2.009515587,-12.96574036,-46.7250538
HKWetMCLM2,-0.77367108,-5.925780152,-5.074311435,-7.021396606,-0.870038162,-1.424924921,-3.130327021,-24.22044938
HKWetMCLM3,-0.557720505,-6.828224586,-8.587734731,-10.50504215,-1.968400314,-1.979191775,-8.329513241,-38.7558273
HKWetMCLM4,-0.644381965,-6.208682526,-9.400158024,-10.77322299,-1.798005343,-1.752238034,-6.650530729,-37.22721961
HKWetMCLM5,2.231768121,-6.335793561,-9.282730831,-10.57635811,-1.568713745,-1.910052732,-9.086132563,-36.52801342
HKWetMCSK2,0.333174721,-0.138955009,-4.752583514,-4.313276722,-3.203180575,2.590294452,15.89275866,6.408232008
HKWetMCSK3,-0.451974544,-0.546503486,-3.655565459,-3.556794272,-2.904833114,1.761337406,12.68306965,3.328736177
HKWetMCSK4,-1.443807181,-3.109425368,-6.538807065,-6.503524643,-3.045790364,0.57461765,9.051552166,-11.0151848
HKWetMCSK5,1.447000347,0.467818,-3.645372995,-1.404355998,-3.182796785,4.139511641,14.09664059,11.9184448
HKWetME1,1.615403886,1.293673363,-3.423076787,-3.432098745,-2.979827602,0.392786129,3.032716841,-3.500422915
HKWetME2,4.053846657,4.519812348,1.949808694,1.052631329,-3.124398164,0.917392338,7.531603468,16.90069667
HKWetME3,1.155088982,5.867984369,3.104730469,3.635902558,-3.247637278,2.045816672,8.14177973,20.7036655
HKWetME4,0.900989024,1.928091964,-1.831052512,-1.833598358,-2.99606021,0.870488706,4.638073994,1.676932608
HKWetME5,3.547590748,3.530190231,-2.357127127,-3.258614087,-2.927227008,2.335703228,10.80879859,11.67931457
HKWetMP1,0.831545224,-2.261909003,-6.352877158,-8.398509441,1.451906052,-0.704849865,-6.155668021,-21.59036221
HKWetMP2,0.955301457,-3.540084159,-4.035202114,-6.553121684,0.244258433,-0.539416824,-5.320576099,-18.78884099
HKWetMP3,1.918692649,-3.506700979,-7.975064388,-9.335309201,-1.471723583,-1.730708731,-10.5383717,-32.63918593
HKWetMP4,-0.269819521,-7.669922982,-12.30587591,-14.08783695,-2.196384221,-2.63926411,-21.27316608,-60.44226978
HKWetMP5,-0.143854721,-6.956031529,-10.10814535,-12.06027685,-1.616687289,-2.323194199,-16.52743982,-49.73562975
HKWetMR1,1.438153998,-0.794059081,-3.780958194,-5.908516908,-0.629121111,1.41038772,7.191627095,-1.07248648
HKWetMR2,-0.013548971,-5.090383447,-8.875828404,-10.91932616,-0.091586893,-1.597874495,-4.819475406,-31.40802378
HKWetMR3,0.643301798,-5.511822129,-11.51693513,-12.30331917,0.457788527,-2.034200671,-14.1802784,-44.44546517
HKWetMR4,1.545688531,-3.668092021,-8.486607972,-9.667577981,0.554101452,-1.624108637,-11.85160734,-33.19820397
HKWetWWTP1,1.960395928,-1.197330663,-2.484362478,-3.392401071,3.184696624,-1.806674941,2.201527171,-1.534149428
HKWetWWTP2,0.355082966,2.764366577,8.587487565,10.65702697,6.447448376,2.099599468,5.893736737,36.80474866
HKWetWWTP3,1.217502045,5.67705737,14.08957771,19.45319389,1.073414166,5.704332817,9.307885284,56.52296327
HKWetWWTP4,0.354800208,3.348685438,28.48194279,33.66879773,1.71655774,2.548962005,11.55419616,81.67394207
QDDryMB1,-1.308473857,0.47761341,2.062542217,2.624443253,4.134505289,-2.739124847,-3.792956457,1.458549007
QDDryMB2,-1.443807181,0.988923606,1.01853238,2.306041735,1.316289247,-2.098796057,-3.736788884,-1.649605153
QDDryMB3,-1.231473863,1.505296089,3.989532902,4.787903733,7.542208667,-2.040413906,-0.560395807,13.99265782
QDDryMB4,-1.257979479,-0.9409099,-2.210039946,-2.580194312,0.474061655,-2.631186557,-7.95516636,-17.1014149
QDDryMB5,-1.105561263,0.365578854,5.098608711,5.033060959,-1.923894778,-2.47641665,-0.355304192,4.636071641
QDDryMC1,-1.443807181,-0.012217212,5.104478055,4.666037605,-2.846512365,-2.006765979,-4.880722517,-1.419509593
QDDryMC2,-1.443807181,-0.082736279,12.42787038,11.06592875,-2.487717807,-1.080835453,0.941738732,19.34044114
QDDryMC3,-1.443807181,-0.855247748,2.408004083,1.258454856,-2.239678883,-1.089913135,-8.34019988,-10.30238789
QDDryMC4,-1.443807181,0.66519685,16.34724717,12.49386382,1.428020318,-1.82503371,2.884605115,30.55009238
QDDryMC5,-1.443807181,-1.173214355,6.12763466,6.4419718,-3.108714687,-1.895854631,-5.264139828,-0.316124221
QDDryME1,-1.443807181,2.927911613,40.74860233,29.24044151,21.00566744,0.08701375,14.07384733,106.6396768
QDDryME2,-1.443807181,-2.468031663,22.27589707,22.8675256,6.362311765,-1.348101704,-3.345074827,42.90071906
QDDryME3,-1.443807181,-3.156518834,19.99826498,19.16080879,-0.657362638,-1.013543147,-3.742453438,29.14538853
QDDryME4,-1.443807181,-2.304323982,19.51597406,19.85742582,-3.277061003,-1.228211622,-0.654125887,30.46587021
QDDryME5,-1.443807181,-3.239716028,25.00387284,24.92398918,-1.645274248,-1.89520194,-0.856970319,40.84689231
QDDryMP1,-1.052113077,-0.009500417,-0.115881271,-1.384322533,-2.931425274,-1.066785653,-5.699075637,-12.25910386
QDDryMP2,-0.929582499,-2.87431908,-3.211454276,-4.800133654,-2.963427211,-1.529091706,-10.09042973,-26.39843816
QDDryMP3,-0.846701107,-0.726292489,-0.775264225,-2.614832347,-2.980046184,-1.876004147,-6.979762112,-16.79890261
QDDryMP4,-1.090416445,2.850822161,3.725275942,3.064517207,-3.061857568,-1.278737101,5.315240081,9.524844278
QDDryMP5,-0.95406065,2.640161474,6.124285214,2.553020921,-3.286095399,0.008701853,-1.638861421,5.447151992
QDDryMR1,-0.246300402,-3.908368718,-2.494473831,-2.868187195,-2.950208211,-2.724430541,-10.64722427,-25.83919317
QDDryMR2,-0.056260466,-6.798713156,-7.027038455,-7.071596027,-3.044910495,-3.057985959,-19.38261845,-46.43912301
QDDryMR3,0.589592171,-3.808463398,-1.760717118,-2.416947456,-3.137671142,-2.543632238,-8.80448021,-21.88231939
QDDryMR4,0.506518519,-3.606998429,-2.089497813,-2.498292417,-2.068788527,-2.556950543,-7.783396419,-20.09740563
QDDryMR5,1.348423575,-3.887519131,-2.279008669,-2.055380488,-3.100742695,-2.607770091,-6.991274354,-19.57327185
QDDryWWTP1,-1.443807181,-0.890387017,-4.317368769,-4.904939093,-2.663617316,-2.164385478,-11.21918167,-27.60368652
