,Denitrification,DNR
HKDryMB1,-1.693262419,-2.002239066
HKDryMB2,2.753741465,0.707894329
HKDryMB3,-0.129262055,-1.266644416
HKDryMB4,-2.36640723,-3.159944703
HKDryMB5,3.260286311,2.124632205
HKDryMCLM1,-7.1142119,-8.393729809
HKDryMCLM2,0.914938998,-0.734972721
HKDryMCLM3,-4.534336335,-5.479087128
HKDryMCLM4,0.965221154,-0.776897618
HKDryMCLM5,-3.589941941,-5.454969595
HKDryMCSK2,-4.388594802,-2.677793528
HKDryMCSK3,-1.385707379,0.521429117
HKDryMCSK4,3.562017364,4.64024413
HKDryMCSK5,-0.4503841,0.290508233
HKDryME1,-5.466814611,-4.599365837
HKDryME2,-10.01218802,-10.15230806
HKDryME3,-11.71627496,-12.23681669
HKDryME4,-7.178794196,-6.105480611
HKDryME5,-7.825358745,-7.925971312
HKDryMP1,2.070537868,1.150420446
HKDryMP2,2.43554154,1.216806461
HKDryMP3,4.389160577,3.183196344
HKDryMP4,1.217709865,0.984618961
HKDryMP5,3.66411256,1.939330343
HKDryMR1,1.118068356,4.467167684
HKDryMR2,2.163788204,5.703926548
HKDryMR3,7.295520827,12.58013384
HKDryMR4,2.409910694,5.58098509
HKDryMR5,3.838593554,7.459079368
HKDryWWTP1,22.31660891,24.57274469
HKDryWWTP2,27.44642104,31.54780136
HKDryWWTP3,21.98834758,32.26913352
HKDryWWTP4,21.48879758,30.51993905
HKWetMB1,-5.892725837,-7.811288675
HKWetMB2,-9.566413361,-10.96662595
HKWetMB3,-7.821740589,-9.302550256
HKWetMB4,-5.887572746,-8.175365082
HKWetMB5,-8.48938932,-10.13657301
HKWetMCLM1,-10.83155817,-12.49023968
HKWetMCLM2,-5.074311435,-7.021396606
HKWetMCLM3,-8.587734731,-10.50504215
HKWetMCLM4,-9.400158024,-10.77322299
HKWetMCLM5,-9.282730831,-10.57635811
HKWetMCSK2,-4.752583514,-4.313276722
HKWetMCSK3,-3.655565459,-3.556794272
HKWetMCSK4,-6.538807065,-6.503524643
HKWetMCSK5,-3.645372995,-1.404355998
HKWetME1,-3.423076787,-3.432098745
HKWetME2,1.949808694,1.052631329
HKWetME3,3.104730469,3.635902558
HKWetME4,-1.831052512,-1.833598358
HKWetME5,-2.357127127,-3.258614087
HKWetMP1,-6.352877158,-8.398509441
HKWetMP2,-4.035202114,-6.553121684
HKWetMP3,-7.975064388,-9.335309201
HKWetMP4,-12.30587591,-14.08783695
HKWetMP5,-10.10814535,-12.06027685
HKWetMR1,-3.780958194,-5.908516908
HKWetMR2,-8.875828404,-10.91932616
HKWetMR3,-11.51693513,-12.30331917
HKWetMR4,-8.486607972,-9.667577981
HKWetWWTP1,-2.484362478,-3.392401071
HKWetWWTP2,8.587487565,10.65702697
HKWetWWTP3,14.08957771,19.45319389
HKWetWWTP4,28.48194279,33.66879773
QDDryMB1,2.062542217,2.624443253
QDDryMB2,1.01853238,2.306041735
QDDryMB3,3.989532902,4.787903733
QDDryMB4,-2.210039946,-2.580194312
QDDryMB5,5.098608711,5.033060959
QDDryMC1,5.104478055,4.666037605
QDDryMC2,12.42787038,11.06592875
QDDryMC3,2.408004083,1.258454856
QDDryMC4,16.34724717,12.49386382
QDDryMC5,6.12763466,6.4419718
QDDryME1,40.74860233,29.24044151
QDDryME2,22.27589707,22.8675256
QDDryME3,19.99826498,19.16080879
QDDryME4,19.51597406,19.85742582
QDDryME5,25.00387284,24.92398918
QDDryMP1,-0.115881271,-1.384322533
QDDryMP2,-3.211454276,-4.800133654
QDDryMP3,-0.775264225,-2.614832347
QDDryMP4,3.725275942,3.064517207
QDDryMP5,6.124285214,2.553020921
QDDryMR1,-2.494473831,-2.868187195
QDDryMR2,-7.027038455,-7.071596027
QDDryMR3,-1.760717118,-2.416947456
QDDryMR4,-2.089497813,-2.498292417
QDDryMR5,-2.279008669,-2.055380488
QDDryWWTP1,-4.317368769,-4.904939093
QDDryWWTP2,-4.052762217,-4.396772586
QDDryWWTP3,-0.792754385,-0.782410838
QDDryWWTP4,-2.042943594,-1.816597533
QDDryWWTP5,0.170197801,-0.318920175
QDWetMB1,-3.083772669,-2.576686988
QDWetMB2,-4.230978403,-3.486294881
QDWetMB3,-2.386953134,-2.067315366
QDWetMB4,-2.439704394,-2.511344249
QDWetMB5,-0.127395223,-0.289428448
QDWetMC1,-2.396929133,4.118244942
QDWetMC2,-7.13945979,-8.418248696
QDWetMC3,-6.276826531,-7.939311415
QDWetMC4,-4.232201318,-4.901105656
QDWetMC5,-5.586807511,-7.818746406
QDWetME1,-4.434834897,-6.726762392
QDWetME2,-7.725587916,-8.387159317
QDWetME3,-8.74213997,-9.663047832
QDWetME5,9.081818923,19.39795935
QDWetMP1,-4.761468371,-3.516800636
QDWetMP2,-2.19737509,0.433885273
QDWetMP3,-1.661776526,-1.599323473
QDWetMP4,-4.477197641,-3.068002776
QDWetMP5,-5.733393917,-5.469985253
QDWetMR1,-4.540477691,-5.624099462
QDWetMR2,-4.16583958,-5.454791862
QDWetMR3,-4.045312649,-5.187192786
QDWetMR4,-8.251034952,-9.117605483
QDWetMR5,-9.419001234,-10.05660853
QDWetWWTP2,-1.277993581,-0.362711197
QDWetWWTP3,-1.379564074,-0.419142048
QDWetWWTP5,1.95303568,4.60151433
