,Denitrification_Bacteria,Denitrification_Fungi,Denitrification_Archaea,DNR_Bacteria,DNR_Fungi,DNR_Archaea
HKDryMB1,286.53052,0,6.943959,308.196026,0,3.727159
HKDryMB2,377.040777,0,5.569984,359.003765,0.010943,4.614553
HKDryMB3,341.094598,0,8.139967,343.176084,0,5.065854
HKDryMB4,307.686455,0,8.874819,305.056289,0.017077,6.258223
HKDryMB5,399.89579,0,7.571295,392.433649,0,6.174631
HKDryMCLM1,216.716654,0,1.312863,192.850132,0,1.162844
HKDryMCLM2,331.914186,0,2.219631,320.90432,0,1.008436
HKDryMCLM3,259.031884,0,1.587134,245.181963,0.008182,1.247268
HKDryMCLM4,336.19478,0,0.853491,323.242622,0.008484,0.305483
HKDryMCLM5,273.693743,0,0.822743,253.458797,0,0.397832
HKDryMCSK2,241.84,0.015244,0.979733,276.385774,0.315113,0.248681
HKDryMCSK3,287.279045,0,1.002024,330.848763,0.327145,0.136852
HKDryMCSK4,363.856009,0,0.492412,406.896873,0.041849,0.058579
HKDryMCSK5,303.755405,0.016745,0.564192,335.742313,0.200793,0.020407
HKDryME1,249.821572,0,0.101396,265.81158,0,0
HKDryME2,174.865038,0,0.090065,172.800674,0,0
HKDryME3,146.949824,0,0.132416,137.969121,0,0.013844
HKDryME4,209.693236,0,0.146706,223.322551,0,0.02908
HKDryME5,220.457461,0,0.134417,217.613121,0,0
HKDryMP1,368.574244,0.009772,3.390215,379.8357,0.009772,3.607205
HKDryMP2,379.555101,0,3.37401,376.449208,0,3.695213
HKDryMP3,406.734813,0,3.351803,414.073191,0.027988,3.235801
HKDryMP4,353.024068,0,3.236417,367.015964,0,2.301574
HKDryMP5,388.355181,0,3.500124,389.061578,0,2.275881
HKDryMR1,366.376955,0,12.857785,477.873569,0.259487,8.830488
HKDryMR2,378.291734,0.008642,12.723921,498.428408,0.125005,8.189627
HKDryMR3,433.275539,0,11.967492,598.440907,0.104214,6.436878
HKDryMR4,365.914705,0,12.029212,483.640265,0.185473,7.393724
HKDryMR5,403.617552,0.008379,11.582606,533.755686,0.239872,7.05245
HKDryWWTP1,627.489614,0,2.24007,794.162983,0,1.376146
HKDryWWTP2,696.014425,0,2.910335,886.176068,0,0.937647
HKDryWWTP3,663.601109,0,1.419188,985.132335,0,1.251144
HKDryWWTP4,660.009255,0,1.388496,986.543361,0,0.868142
HKWetMB1,274.678191,0,1.216546,239.397397,0.05423,0.336122
HKWetMB2,192.384443,0,1.427467,177.270485,0.047218,1.012431
HKWetMB3,224.414161,0,1.926179,197.306035,0.105293,0.568825
HKWetMB4,270.687769,0,2.24106,233.566973,0.023821,0.444152
HKWetMB5,222.427791,0,2.255999,190.941078,0.040697,1.228988
HKWetMCLM1,178.559515,0,1.189986,145.197222,0.02014,1.111287
HKWetMCLM2,221.070791,0,1.737856,187.130879,0.084914,1.277105
HKWetMCLM3,203.509116,0,0.5608,169.153798,0.036884,0.765397
HKWetMCLM4,202.275946,0,1.384438,178.763008,0.168081,1.423758
HKWetMCLM5,203.189699,0,0.968496,183.40113,0.064309,0.483665
HKWetMCSK2,292.735129,0,0.602652,307.356581,0.04602,0
HKWetMCSK3,315.850276,0,0.171837,317.323531,0.022845,0
HKWetMCSK4,265.475754,0,0.708004,265.564981,0.080829,0
HKWetMCSK5,300.313315,0,0.790027,348.690645,0.021766,0
HKWetME1,249.720088,0,0.028961,243.281338,0,0
HKWetME2,328.086469,0,0.059532,317.71995,0,0
HKWetME3,331.966079,0,0.117529,338.781574,0.022122,0
HKWetME4,278.467157,0,0.041069,277.493938,0.027703,0
HKWetME5,312.547851,0,0.179156,292.177918,0,0.030061
HKWetMP1,246.811129,0,2.507018,209.227476,0,1.112416
HKWetMP2,256.267966,0,2.484393,221.777608,0,0.903862
HKWetMP3,208.276038,0,1.490254,194.601136,0,0.222074
