,Archaea_Simpson,Archaea_Shannon,Bacteria_Simpson,Bacteria_Shannon,Fungi_Simpson,Fungi_Shannon,Denitrification_Bacteria,Denitrification_Fungi,Denitrification_Archaea,DNR_Bacteria,DNR_Fungi,DNR_Archaea
HKDryMB1,0.96362101,4.88726956,0.99777328,7.82862069,0.984647947,4.507963706,286.53052,0,6.943959,308.196026,0,3.727159
HKDryMB2,0.94596917,4.45239003,0.9806319,7.15317793,0.983840726,4.519140065,377.040777,0,5.569984,359.003765,0.010943,4.614553
HKDryMB3,0.9472363,4.49991468,0.99775676,7.83880013,0.982358579,4.418815966,341.094598,0,8.139967,343.176084,0,5.065854
HKDryMB4,0.95500048,4.669677,0.99697993,7.74101707,0.98486061,4.533108105,307.686455,0,8.874819,305.056289,0.017077,6.258223
HKDryMB5,0.94507335,4.45230864,0.99616602,7.71774961,0.98410523,4.492713843,399.89579,0,7.571295,392.433649,0,6.174631
HKDryMCLM1,0.84149399,3.10828939,0.97703532,6.71892589,0.980093276,4.316504883,216.716654,0,1.312863,192.850132,0,1.162844
HKDryMCLM2,0.83941725,3.19236111,0.97256391,6.479038,0.984009963,4.437219734,331.914186,0,2.219631,320.90432,0,1.008436
HKDryMCLM3,0.81847847,3.05391421,0.96269647,6.41305792,0.984077784,4.452661213,259.031884,0,1.587134,245.181963,0.008182,1.247268
HKDryMCLM4,0.78748668,2.9393187,0.94711105,6.1962581,0.983584101,4.430374939,336.19478,0,0.853491,323.242622,0.008484,0.305483
HKDryMCLM5,0.81928973,3.09626013,0.9658246,6.39178003,0.985284972,4.492066463,273.693743,0,0.822743,253.458797,0,0.397832
HKDryMCSK2,0.82465303,3.2567316,0.97690792,6.28641165,0.982999164,4.405560039,241.84,0.015244,0.979733,276.385774,0.315113,0.248681
HKDryMCSK3,0.821691,3.21143896,0.96971852,6.16151497,0.984023805,4.429069963,287.279045,0,1.002024,330.848763,0.327145,0.136852
HKDryMCSK4,0.8110558,3.10810819,0.96063186,6.00596932,0.982709473,4.403485574,363.856009,0,0.492412,406.896873,0.041849,0.058579
HKDryMCSK5,0.8178675,3.37314937,0.96624796,6.11625373,0.98318221,4.402295674,303.755405,0.016745,0.564192,335.742313,0.200793,0.020407
HKDryME1,0.84513611,3.47617185,0.96655423,6.11935651,0.982810498,4.415905562,249.821572,0,0.101396,265.81158,0,0
HKDryME2,0.8686673,3.64808687,0.96983964,6.32677052,0.983049163,4.405918717,174.865038,0,0.090065,172.800674,0,0
HKDryME3,0.868569,3.87239096,0.96670083,6.24276359,0.983475145,4.405385089,146.949824,0,0.132416,137.969121,0,0.013844
HKDryME4,0.81020758,3.52265786,0.96534257,5.90519697,0.984584537,4.451238511,209.693236,0,0.146706,223.322551,0,0.02908
HKDryME5,0.85256444,3.77612005,0.97299372,6.20633979,0.984135322,4.430782244,220.457461,0,0.134417,217.613121,0,0
HKDryMP1,0.91183845,4.39014367,0.98749125,7.01060791,0.979882,4.314080859,368.574244,0.009772,3.390215,379.8357,0.009772,3.607205
HKDryMP2,0.93951259,4.47897864,0.98321518,6.87220866,0.981033484,4.315400419,379.555101,0,3.37401,376.449208,0,3.695213
HKDryMP3,0.9539421,4.52919924,0.97254765,6.51422522,0.979025761,4.26174612,406.734813,0,3.351803,414.073191,0.027988,3.235801
HKDryMP4,0.93920802,4.51076152,0.98950163,7.07886933,0.980457047,4.306330344,353.024068,0,3.236417,367.015964,0,2.301574
HKDryMP5,0.93047562,4.46999714,0.97853373,6.67358756,0.981348872,4.330428258,388.355181,0,3.500124,389.061578,0,2.275881
HKDryMR1,0.73711999,2.68020647,0.94046505,5.929719,0.982591679,4.400087021,366.376955,0,12.857785,477.873569,0.259487,8.830488
HKDryMR2,0.7241557,2.67784085,0.95895671,6.10274876,0.984176534,4.442659967,378.291734,0.008642,12.723921,498.428408,0.125005,8.189627
HKDryMR3,0.72824385,2.68672812,0.95505493,6.04727888,0.983634512,4.428844992,433.275539,0,11.967492,598.440907,0.104214,6.436878
HKDryMR4,0.71072005,2.62840313,0.9565368,6.05635108,0.983875599,4.432507672,365.914705,0,12.029212,483.640265,0.185473,7.393724
HKDryMR5,0.72822944,2.70051939,0.95512627,6.11384931,0.982803526,4.401318843,403.617552,0.008379,11.582606,533.755686,0.239872,7.05245
HKDryWWTP1,0.41304412,1.43586744,0.96092659,5.82206145,0.984346951,4.46383549,627.489614,0,2.24007,794.162983,0,1.376146
HKDryWWTP2,0.44048562,1.51494507,0.9737356,5.84974905,0.983318426,4.461745469,696.014425,0,2.910335,886.176068,0,0.937647
HKDryWWTP3,0.47648974,1.58188485,0.96095245,5.86025682,0.982688275,4.454524048,663.601109,0,1.419188,985.132335,0,1.251144
HKDryWWTP4,0.42238764,1.47707506,0.96796655,6.06993368,0.983590628,4.448765334,660.009255,0,1.388496,986.543361,0,0.868142
HKWetMB1,0.43159973,1.46080373,0.95912767,5.75070578,0.982764654,4.444985048,274.678191,0,1.216546,239.397397,0.05423,0.336122
HKWetMB2,0.77640597,2.80741227,0.99033482,6.27528802,0.980360784,4.433757401,192.384443,0,1.427467,177.270485,0.047218,1.012431
HKWetMB3,0.78433232,2.91390956,0.98952772,6.12963119,0.978689676,4.423720505,224.414161,0,1.926179,197.306035,0.105293,0.568825
HKWetMB4,0.77682157,2.92554933,0.98780071,5.81735317,0.976700229,4.363153069,270.687769,0,2.24106,233.566973,0.023821,0.444152
HKWetMB5,0.75428926,2.83179701,0.99041086,6.03158057,0.973730982,4.33141573,222.427791,0,2.255999,190.941078,0.040697,1.228988
HKWetMCLM1,0.9493484,4.54115036,0.99372608,7.57712101,0.984176101,4.507272196,178.559515,0,1.189986,145.197222,0.02014,1.111287
HKWetMCLM2,0.95171275,4.59939139,0.99358185,7.682912,0.983830404,4.486535565,221.070791,0,1.737856,187.130879,0.084914,1.277105
HKWetMCLM3,0.95250788,4.62798315,0.99491128,7.70913446,0.982875184,4.491967782,203.509116,0,0.5608,169.153798,0.036884,0.765397
HKWetMCLM4,0.9554794,4.66915774,0.99418323,7.6886034,0.983106567,4.489557155,202.275946,0,1.384438,178.763008,0.168081,1.423758
HKWetMCLM5,0.95710617,4.69310985,0.99537897,7.79778471,0.984375835,4.50800938,203.189699,0,0.968496,183.40113,0.064309,0.483665
HKWetMCSK2,0.97316248,5.25223331,0.97019702,7.00306434,0.979010739,4.32950498,292.735129,0,0.602652,307.356581,0.04602,0
HKWetMCSK3,0.97122563,5.11727072,0.97288023,7.0548519,0.978474729,4.338456393,315.850276,0,0.171837,317.323531,0.022845,0
HKWetMCSK4,0.9725922,5.20568807,0.94407804,6.50954731,0.982229329,4.428625627,265.475754,0,0.708004,265.564981,0.080829,0
HKWetMCSK5,0.96257884,5.05244373,0.98795806,7.27294188,0.980010497,4.396125819,300.313315,0,0.790027,348.690645,0.021766,0
HKWetME1,0.94958749,4.41099765,0.99504669,7.46085727,0.982704289,4.508520275,249.720088,0,0.028961,243.281338,0,0
HKWetME2,0.9573092,4.61421156,0.99433964,7.29743184,0.98305902,4.484034583,328.086469,0,0.059532,317.71995,0,0
HKWetME3,0.96069628,4.81675672,0.979151,6.78799975,0.98321236,4.476695858,331.966079,0,0.117529,338.781574,0.022122,0
HKWetME4,0.96841054,4.8913761,0.99424748,7.28410217,0.982519071,4.451234818,278.467157,0,0.041069,277.493938,0.027703,0
HKWetME5,0.96034056,4.68760696,0.99469858,7.30576619,0.982843429,4.464984065,312.547851,0,0.179156,292.177918,0,0.030061
HKWetMP1,0.94757345,4.54103145,0.97871629,7.08221491,0.982582444,4.413206524,246.811129,0,2.507018,209.227476,0,1.112416
HKWetMP2,0.90110142,3.81431345,0.99229682,7.64516952,0.97619466,4.25043929,256.267966,0,2.484393,221.777608,0,0.903862
HKWetMP3,0.92189963,4.06658587,0.99290253,7.67681561,0.982456412,4.392974509,208.276038,0,1.490254,194.601136,0,0.222074
HKWetMP4,0.89427915,3.74288747,0.9937932,7.54142943,0.984460902,4.47103898,146.072622,0,0.742045,106.9397,0.019021,0.205078
HKWetMP5,0.94908499,5.03880366,0.98482178,7.00104958,0.984814216,4.53882061,164.355531,0,1.394047,124.627494,0,0.615516
HKWetMR1,0.95660899,5.15375085,0.98297236,7.03513962,0.983748859,4.520084551,299.09186,0,3.185531,258.129012,0.056289,0.951435
HKWetMR2,0.94897477,5.06479975,0.98632462,7.11158276,0.984373345,4.542202563,204.685063,0,3.334399,164.772799,0,1.122903
HKWetMR3,0.95324323,5.0826342,0.98618634,7.23384481,0.984742364,4.533055654,148.609665,0,4.03319,130.12239,0,1.876211
HKWetMR4,0.95462873,5.1291608,0.98954834,7.36021031,0.985333446,4.547649145,175.352593,0,4.798654,152.182108,0.063996,2.248794
HKWetWWTP1,0.90117058,3.86061292,0.99036454,6.96677869,0.982521105,4.475831199,262.838701,0,3.438933,259.440724,0.026574,3.129469
HKWetWWTP2,0.9280339,4.16649533,0.99341265,6.86367301,0.972884361,4.376652546,385.375657,0,2.81511,449.683269,0.053297,5.337579
HKWetWWTP3,0.94134531,4.49102186,0.99295169,6.79531402,0.974270335,4.387067579,455.231017,0,1.501623,562.605519,0.07555,5.287693
HKWetWWTP4,0.93013083,4.61569505,0.99340946,6.90361187,0.981829227,4.467703953,568.914119,0,1.725482,717.274063,0.038397,4.617683
QDDryMB1,0.94460496,4.48230205,0.98693216,6.98776808,0.983117379,4.500012442,335.819639,0.134591,2.05408,381.898159,0.146749,0.33326
QDDryMB2,0.94727918,4.52092001,0.98620821,6.90342961,0.982623124,4.490798982,326.254964,0.202423,1.636663,393.56188,0.202423,0.228559
QDDryMB3,0.93970375,4.376391,0.98746967,7.00166493,0.983392261,4.500142924,369.148461,0.204657,0.937924,422.530648,0.204657,0.366184
QDDryMB4,0.94751095,4.48168862,0.98285128,6.86919729,0.981679681,4.476310776,276.737548,0.212084,2.837677,310.494512,0.212084,0.467384
QDDryMB5,0.94868232,4.47788465,0.98584005,6.83077468,0.981763341,4.478647071,372.763518,0.160529,1.252876,406.292564,0.170652,0.26809
QDDryMC1,0.95332972,4.74833203,0.97614545,6.77979688,0.982928628,4.495912443,443.118399,0,0.228384,500.229187,0,0
QDDryMC2,0.93993432,4.66419205,0.98750906,7.03765903,0.983695129,4.517960396,557.797927,0,0.358737,632.88743,0,0.107835
QDDryMC3,0.94307565,4.71470764,0.97588886,6.64322556,0.98347291,4.513098616,397.826724,0,0.241116,445.330108,0,0
QDDryMC4,0.93215679,4.62897259,0.98641133,6.94095228,0.984506084,4.53505405,609.453691,0.012975,0.416811,646.372949,0.012975,0.032871
QDDryMC5,0.95072407,4.76432056,0.97821982,6.75645195,0.983577001,4.500966815,457.549755,0,0.145812,561.83687,0,0.156083
QDDryME1,0.92755963,4.28355744,0.97076431,6.48176523,0.981502931,4.3526856,878.173211,0,0,555.606468,0,0.01195
QDDryME2,0.92574983,4.18268207,0.98020549,6.68848337,0.98070432,4.320947094,607.600805,0,0,494.920906,0,0
QDDryME3,0.90843577,4.21316453,0.96063086,6.27462029,0.982656982,4.388287907,561.103654,0,0.085924,454.639797,0,0
QDDryME4,0.94180374,4.37922478,0.98312026,6.80526043,0.978994404,4.247149783,614.796153,0,0.010725,494.721107,0,0
QDDryME5,0.9054235,4.20039214,0.94499192,5.82713158,0.982555137,4.390367754,662.649658,0,0,484.178098,0,0
QDDryMP1,0.62109086,2.52018423,0.93918445,4.99497779,0.984120697,4.472365543,329.345182,0.19584,0.377083,315.911537,0.204644,0.330001
