,pH,Salinity,DOC,DO,Temperature,NO3,PO4,Total_Antibiotic_Stress
HKDryMB1,7.81,28,5.138,6.95,18.967,0.278,0.019,0.567922803
HKDryMB2,7.8,35.66,5.128,7.26,18.966,0.178,0.037,0.64329759
HKDryMB3,7.81,35.68,5.294,7.31,18.985,0.098,0.03,0.618034162
HKDryMB4,7.8,35.71,4.741,7.12,19.02,0.148,0.026,0.7666373
HKDryMB5,7.79,35.65,4.749,7.11,19.314,0.158,0.014,0.570006358
HKDryMCLM1,7.95,34.95,7.056,7.19,20.071,0.048,0.036,0.749395179
HKDryMCLM2,7.91,34.98,7.015,7.06,20.047,0.098,0.028,0.710114794
HKDryMCLM3,7.91,34.98,7.401,7.1,21.047,0.088,0.035,0.625687509
HKDryMCLM4,7.89,34.89,3.996,7.02,20.02,0.02,0.005,0.801992987
HKDryMCLM5,7.9,35.27,4.555,6.65,19.92,0.068,0.004,0.746662638
HKDryMCSK2,8.01,34.21,2.809,8.01,15.652,0.118,0.065,0.617658594
HKDryMCSK3,8.04,34.25,2.362,8.44,15.731,0.078,0.026,0.537120484
HKDryMCSK4,8.02,34.25,2.679,8.02,15.851,0.018,0.029,0.592075396
HKDryMCSK5,8.05,34.2,2.656,8.41,16.62,0.078,0.018,0.470792234
HKDryME1,8.25,34.34,2.685,8.07,15.749,0.108,0.013,0.670783589
HKDryME2,7.99,35.44,2.647,7.86,17.81,0.118,0.053,0.579918583
HKDryME3,7.97,35.48,2.653,7.84,17.93,0.128,0.057,0.752278136
HKDryME4,8.01,35.47,2.656,7.89,17.998,0.048,0.035,0.40802564
HKDryME5,8.02,35.4,2.673,7.84,17.88,0.108,0.016,0.687573104
HKDryMP1,8,35.43,2.727,7.78,17.982,0.048,0.033,0.622291367
HKDryMP2,7.91,34.54,3.753,8.14,16.158,0.128,0.015,0.567886161
HKDryMP3,7.86,34.54,3.813,7.7,16.189,0.108,0.027,0.652374184
HKDryMP4,7.88,34.54,2.73,7.8,16.099,0.088,0.008,0.627327229
HKDryMP5,7.9,34.54,2.81,8.11,16.164,0.128,0.018,0.603980041
HKDryMR1,7.99,35.34,4.131,6.59,18.16,0.068,0.031,0.491908022
HKDryMR2,8.03,35.3,4.059,6.69,18.519,0.098,0.04,0.530046989
HKDryMR3,7.9,35.33,4.237,6.63,18.139,0.058,0.03,0.584330305
HKDryMR4,7.9,35.35,4.041,6.67,18.26,0.038,0.017,0.532768532
HKDryMR5,7.91,35.29,3.961,6.74,18.19,0.078,0.016,0.504472034
HKDryWWTP1,7.84,35.03,3.843,6.74,17.881,0.038,0.047,1.120382939
HKDryWWTP2,7.84,34.58,3.611,6.69,17.894,0.028,0.058,1.151384354
HKDryWWTP3,7.83,34.08,4.325,6.77,18.35,0.108,0.036,1.478108768
HKDryWWTP4,7.8,33.95,4.191,6.85,18.113,0.098,0.052,1.536988973
HKWetMB1,8.23,27,6.331,9.67,30.8,0.1,0.016,0.794078006
HKWetMB2,8.29,21,10.95,9.71,30.9,0.06,0.014,0.632509817
HKWetMB3,8.31,24,12.46,9.66,30.9,0.07,0.012,0.548463508
HKWetMB4,8.34,21,6.762,9.68,31,0.06,0.015,0.634505113
HKWetMB5,8.21,26,15.53,9.78,30.9,0.08,0.01,0.683671146
HKWetMCLM1,8.26,26,4.458,10.11,30.4,0.08,0.021,0.723937097
HKWetMCLM2,8.32,15,3.433,8.7,30.5,0.13,0.017,0.635034692
HKWetMCLM3,8.05,25,10.04,8.1,30.5,0.16,0.037,0.719529471
HKWetMCLM4,7.84,20,6.759,8.14,30.6,0.09,0.011,0.664690994
HKWetMCLM5,8.35,17,8.201,8.07,30.8,0.03,0.012,0.640712108
HKWetMCSK2,8.2,32,7.297,7.48,30.1,0.11,0.021,0.46931871
HKWetMCSK3,8.11,33,5.681,7.43,30.2,0.11,0.021,0.646282578
HKWetMCSK4,8.16,29,19.6,7.39,30.2,0.09,0.024,0.451984745
HKWetMCSK5,8.16,29,13.48,7.45,30.3,0.07,0.028,0.561770318
HKWetME1,8.01,23,12.97,7.15,31.4,0.38,0.015,0.812572171
HKWetME2,8.2,21,3.635,7.27,31,0.49,0.016,0.838793335
HKWetME3,8.22,26,10.93,7.28,31.1,0.49,0.01,0.682346299
HKWetME4,8.21,26,7.669,7.29,31.2,0.38,0.021,0.520546889
HKWetME5,7.89,27,6.496,7.31,31.1,0.16,0.023,0.761239067
HKWetMP1,8.3,32,3.274,9.58,27.8,0.14,0.044,0.776475653
HKWetMP2,8.29,33,3.322,9.48,27.6,0.13,0.034,0.801038688
HKWetMP3,8.23,33,3.848,9.56,27.6,0.15,0.017,0.937573803
HKWetMP4,8.35,25,3.462,9.57,27.8,0.11,0.02,0.694657558
HKWetMP5,8.24,32,4.005,9.44,27.9,0.13,0.015,1.066282949
HKWetMR1,8.34,30,3.317,8.22,29.4,0.01,0.013,0.70439286
HKWetMR2,8.27,36,19.14,8.26,29.3,0.01,0.02,0.695397344
HKWetMR3,8.33,32,11.29,8.25,29.1,0.01,0.02,0.660462703
HKWetMR4,8.47,25,9.395,8.19,29.5,0.02,0.028,0.531302876
HKWetWWTP1,7.44,32,3.829,5.7,30.8,0.19,0.022,1.239565757
HKWetWWTP2,7.9,27,4.238,5.68,30.8,0.12,0.015,1.344473972
HKWetWWTP3,7.83,24,3.884,5.67,30.6,0.16,0.028,1.299837365
HKWetWWTP4,7.88,32,4.765,5.65,30.6,0.1,0.051,1.586149056
QDDryMB1,8.5,27.8,6.11,12.3,6.2,0.008,0.108,0.792111557
QDDryMB2,8.49,27.7,6.155,12.26,7,0.008,0.128,0.729828155
QDDryMB3,8.52,27.7,5.297,12.64,6.6,0.228,0.12,0.685300088
QDDryMB4,8.51,27.7,5.67,12.14,7,0.016,0.082,0.596564369
QDDryMB5,8.5,27.8,5.807,12.43,6.1,0.011,0.003,0.608131085
QDDryMC1,8.08,11.2,19.015,12.6,7.2,2.701,0.098,0.968508248
QDDryMC2,8.1,8.44,19.468,13.19,7.5,5.555,0.166,1.138184599
QDDryMC3,8.37,13.7,20.168,13.23,7.2,5.08,0.116,1.332134606
QDDryMC4,8.42,8.72,19.153,14.99,7.4,8.502,0.14,0.97382982
QDDryMC5,8.38,8.66,18.007,15.36,7.6,3.181,0.099,0.932345164
QDDryME1,8.5,27,4.551,12.48,6.2,0.017,0.001,1.690616878
QDDryME2,8.52,26.8,5.511,12.65,5.5,0.007,0.002,1.902046651
QDDryME3,8.49,27.6,5.877,12.53,6.3,0.001,0.001,1.558377129
QDDryME4,8.53,27.2,5.215,12.77,5.6,0.008,0.003,1.805198933
QDDryME5,8.49,26.9,5.876,12.56,6.1,0.01,0.001,1.560769977
QDDryMP1,8.49,27.3,6.836,12.38,4.5,0.045,0.152,1.021232108
QDDryMP2,8.5,28.1,6.532,12.65,4.6,0.025,0.12,1.066124896
QDDryMP3,8.52,27.8,6.154,12.85,5.1,0.042,0.117,1.022234482
QDDryMP4,8.5,27.5,4.525,12.56,5,0.027,0.098,1.122619184
QDDryMP5,8.52,26.9,6.406,12.75,6.8,0.075,0.106,0.872910466
QDDryMR1,8.46,26.9,7.147,13.19,6.1,0.008,0.001,0.899317927
QDDryMR2,8.45,27.3,7.658,12.77,5.9,0.018,0.001,0.810058376
QDDryMR3,8.44,27.6,11.553,12.76,5.7,0.036,0.001,1.108208735
QDDryMR4,8.49,27.7,3.473,12.62,6.3,0.066,0.001,1.067254436
QDDryMR5,8.46,27.2,3.855,12.53,5.7,0.121,0.001,1.083040617
QDDryWWTP1,8.42,27,8.437,12.39,5.7,0.251,0.079,0.920317919
QDDryWWTP2,8.44,26.7,7.571,12.58,6.3,0.285,0.093,1.132597461
