"EnvironmentalFactor","DiversityMeasure","Importance","Correlation","PValue"
"pH","Denitrification_Bacteria",43.5507970718864,-0.0820248756875962,0.36908836697012
"pH","Denitrification_Archaea",45.3253599967569,-0.378851424443618,1.6850257141305e-05
"pH","Denitrification_Fungi",67.5052401626463,0.456985354536666,1.21607519937527e-07
"pH","DNR_Bacteria",38.725345093774,-0.0980281962628182,0.282733062512259
"pH","DNR_Archaea",61.3684378911109,-0.383572080268553,1.29417855602566e-05
"pH","DNR_Fungi",43.5750554099586,0.296144523370067,0.000926423400970661
"Salinity","Denitrification_Bacteria",42.9607948781272,0.100719046439811,0.269664542235617
"Salinity","Denitrification_Archaea",61.9791746680855,0.299452167999965,0.00080595219786117
"Salinity","Denitrification_Fungi",74.2218163115404,0.10427988751173,0.253009032064878
"Salinity","DNR_Bacteria",37.4167587445403,0.104278735771864,0.253014302193753
"Salinity","DNR_Archaea",66.7314608253628,0.28880661499141,0.00125459331539983
"Salinity","DNR_Fungi",59.5223427856282,-0.258643377918611,0.00402093294128501
"DOC","Denitrification_Bacteria",33.3087034536742,0.0404995695929943,0.657831493899933
"DOC","Denitrification_Archaea",39.8588244270903,-0.173614633608472,0.0558191205418232
"DOC","Denitrification_Fungi",13.4822162536594,0.266706409599951,0.00298259341396569
"DOC","DNR_Bacteria",39.9262357997849,0.0126858557169962,0.889700682744579
"DOC","DNR_Archaea",60.5424528448793,-0.0752855579428249,0.409845127527177
"DOC","DNR_Fungi",52.3469320144172,-0.183475398405306,0.0430838742894468
"DO","Denitrification_Bacteria",56.7946123479721,-0.069901045414354,0.444229534179603
"DO","Denitrification_Archaea",39.1163799058804,-0.465322699313336,6.65482865162765e-08
"DO","Denitrification_Fungi",58.059696025324,0.434862431701069,5.58252658302059e-07
"DO","DNR_Bacteria",61.9100383900307,-0.0984490117233695,0.280661824541258
"DO","DNR_Archaea",54.027951865464,-0.417543230360187,1.71100937716799e-06
"DO","DNR_Fungi",8.46248806127625,0.136473939317271,0.133897414573592
"Temperature","Denitrification_Bacteria",35.8336178804012,-0.385096273253887,1.18743288350523e-05
"Temperature","Denitrification_Archaea",69.0421258233551,0.198941392515071,0.0280371804574039
"Temperature","Denitrification_Fungi",59.993309933408,-0.625733445537828,1.2986975973444e-14
"Temperature","DNR_Bacteria",47.6557820189209,-0.38393620535097,1.26788515949191e-05
"Temperature","DNR_Archaea",74.9572561864893,0.1381763858631,0.129068137962359
"Temperature","DNR_Fungi",24.4190797086453,0.0587899124432456,0.520076371825147
"NO3","Denitrification_Bacteria",15.0634083614895,-0.00188719158608006,0.983540695187057
"NO3","Denitrification_Archaea",6.70438363263171,-0.124555467861959,0.171648265395666
"NO3","Denitrification_Fungi",28.5539585105655,-0.117685992486832,0.196705805308553
"NO3","DNR_Bacteria",19.3798507984741,0.00885426665342992,0.922890248865348
"NO3","DNR_Archaea",0,-0.106915478843313,0.241146409874787
"NO3","DNR_Fungi",2.34745991307572,-0.108071205421862,0.236068502553439
"PO4","Denitrification_Bacteria",13.5455422287227,0.0340151131110427,0.709930726869018
"PO4","Denitrification_Archaea",31.5142870814088,0.0393237270619474,0.66716669411092
"PO4","Denitrification_Fungi",52.1272177701607,-0.014698934424882,0.872335720637302
"PO4","DNR_Bacteria",9.50180239529996,0.0750110754000586,0.411559196747581
"PO4","DNR_Archaea",34.0203793812576,-0.0628271001258273,0.491777934084173
"PO4","DNR_Fungi",19.8517464315829,0.255318021068098,0.00453620878165919
"Total_Antibiotic_Stress","Denitrification_Bacteria",59.8741991502725,0.246846715859111,0.00624404542686545
"Total_Antibiotic_Stress","Denitrification_Archaea",32.5735806068572,-0.327828061034392,0.000227709545092439
"Total_Antibiotic_Stress","Denitrification_Fungi",19.9966826440149,0.0562008425372779,0.538650861139043
"Total_Antibiotic_Stress","DNR_Bacteria",41.0293276394876,0.191536608497097,0.0347074439775953
"Total_Antibiotic_Stress","DNR_Archaea",27.3093047731471,-0.228329397356505,0.0114216803164364
"Total_Antibiotic_Stress","DNR_Fungi",8.65662876219476,-0.198568574212836,0.0283387410297151
