,Archaea_Shannon,Bacteria_Shannon,Fungi_Shannon
HKDryMB1,4.88726956,7.82862069,4.507963706
HKDryMB2,4.45239003,7.15317793,4.519140065
HKDryMB3,4.49991468,7.83880013,4.418815966
HKDryMB4,4.669677,7.74101707,4.533108105
HKDryMB5,4.45230864,7.71774961,4.492713843
HKDryMCLM1,3.10828939,6.71892589,4.316504883
HKDryMCLM2,3.19236111,6.479038,4.437219734
HKDryMCLM3,3.05391421,6.41305792,4.452661213
HKDryMCLM4,2.9393187,6.1962581,4.430374939
HKDryMCLM5,3.09626013,6.39178003,4.492066463
HKDryMCSK2,3.2567316,6.28641165,4.405560039
HKDryMCSK3,3.21143896,6.16151497,4.429069963
HKDryMCSK4,3.10810819,6.00596932,4.403485574
HKDryMCSK5,3.37314937,6.11625373,4.402295674
HKDryME1,3.47617185,6.11935651,4.415905562
HKDryME2,3.64808687,6.32677052,4.405918717
HKDryME3,3.87239096,6.24276359,4.405385089
HKDryME4,3.52265786,5.90519697,4.451238511
HKDryME5,3.77612005,6.20633979,4.430782244
HKDryMP1,4.39014367,7.01060791,4.314080859
HKDryMP2,4.47897864,6.87220866,4.315400419
HKDryMP3,4.52919924,6.51422522,4.26174612
HKDryMP4,4.51076152,7.07886933,4.306330344
HKDryMP5,4.46999714,6.67358756,4.330428258
HKDryMR1,2.68020647,5.929719,4.400087021
HKDryMR2,2.67784085,6.10274876,4.442659967
HKDryMR3,2.68672812,6.04727888,4.428844992
HKDryMR4,2.62840313,6.05635108,4.432507672
HKDryMR5,2.70051939,6.11384931,4.401318843
HKDryWWTP1,1.43586744,5.82206145,4.46383549
HKDryWWTP2,1.51494507,5.84974905,4.461745469
HKDryWWTP3,1.58188485,5.86025682,4.454524048
HKDryWWTP4,1.47707506,6.06993368,4.448765334
HKWetMB1,1.46080373,5.75070578,4.444985048
HKWetMB2,2.80741227,6.27528802,4.433757401
HKWetMB3,2.91390956,6.12963119,4.423720505
HKWetMB4,2.92554933,5.81735317,4.363153069
HKWetMB5,2.83179701,6.03158057,4.33141573
HKWetMCLM1,4.54115036,7.57712101,4.507272196
HKWetMCLM2,4.59939139,7.682912,4.486535565
HKWetMCLM3,4.62798315,7.70913446,4.491967782
HKWetMCLM4,4.66915774,7.6886034,4.489557155
HKWetMCLM5,4.69310985,7.79778471,4.50800938
HKWetMCSK2,5.25223331,7.00306434,4.32950498
HKWetMCSK3,5.11727072,7.0548519,4.338456393
HKWetMCSK4,5.20568807,6.50954731,4.428625627
HKWetMCSK5,5.05244373,7.27294188,4.396125819
HKWetME1,4.41099765,7.46085727,4.508520275
HKWetME2,4.61421156,7.29743184,4.484034583
HKWetME3,4.81675672,6.78799975,4.476695858
HKWetME4,4.8913761,7.28410217,4.451234818
HKWetME5,4.68760696,7.30576619,4.464984065
HKWetMP1,4.54103145,7.08221491,4.413206524
HKWetMP2,3.81431345,7.64516952,4.25043929
HKWetMP3,4.06658587,7.67681561,4.392974509
HKWetMP4,3.74288747,7.54142943,4.47103898
HKWetMP5,5.03880366,7.00104958,4.53882061
HKWetMR1,5.15375085,7.03513962,4.520084551
