Functional_Zone	pH	Salinity	DOC (mg/L)	DO (mg/L)	Temperature	NO3 (mg/L)	PO4 (mg/L)	Total_Antibiotic_Stress
Beach	7.81	28	5.138	6.95	18.967	0.278	0.019	0.567922803
Beach	7.8	35.66	5.128	7.26	18.966	0.178	0.037	0.64329759
Beach	7.81	35.68	5.294	7.31	18.985	0.098	0.03	0.618034162
Beach	7.8	35.71	4.741	7.12	19.02	0.148	0.026	0.7666373
Beach	7.79	35.65	4.749	7.11	19.314	0.158	0.014	0.570006358
Mariculture	7.95	34.95	7.056	7.19	20.071	0.048	0.036	0.749395179
Mariculture	7.91	34.98	7.015	7.06	20.047	0.098	0.028	0.710114794
Mariculture	7.91	34.98	7.401	7.1	21.047	0.088	0.035	0.625687509
Mariculture	7.89	34.89	3.996	7.02	20.02	0.02	0.005	0.801992987
Mariculture	7.9	35.27	4.555	6.65	19.92	0.068	0.004	0.746662638
Mariculture	8.01	34.21	2.809	8.01	15.652	0.118	0.065	0.617658594
Mariculture	8.04	34.25	2.362	8.44	15.731	0.078	0.026	0.537120484
Mariculture	8.02	34.25	2.679	8.02	15.851	0.018	0.029	0.592075396
Mariculture	8.05	34.2	2.656	8.41	16.62	0.078	0.018	0.470792234
Estuary	8.25	34.34	2.685	8.07	15.749	0.108	0.013	0.670783589
Estuary	7.99	35.44	2.647	7.86	17.81	0.118	0.053	0.579918583
Estuary	7.97	35.48	2.653	7.84	17.93	0.128	0.057	0.752278136
Estuary	8.01	35.47	2.656	7.89	17.998	0.048	0.035	0.40802564
Estuary	8.02	35.4	2.673	7.84	17.88	0.108	0.016	0.687573104
Port	8	35.43	2.727	7.78	17.982	0.048	0.033	0.622291367
Port	7.91	34.54	3.753	8.14	16.158	0.128	0.015	0.567886161
Port	7.86	34.54	3.813	7.7	16.189	0.108	0.027	0.652374184
Port	7.88	34.54	2.73	7.8	16.099	0.088	0.008	0.627327229
Port	7.9	34.54	2.81	8.11	16.164	0.128	0.018	0.603980041
Reserve	7.99	35.34	4.131	6.59	18.16	0.068	0.031	0.491908022
Reserve	8.03	35.3	4.059	6.69	18.519	0.098	0.04	0.530046989
Reserve	7.9	35.33	4.237	6.63	18.139	0.058	0.03	0.584330305
Reserve	7.9	35.35	4.041	6.67	18.26	0.038	0.017	0.532768532
Reserve	7.91	35.29	3.961	6.74	18.19	0.078	0.016	0.504472034
WWTP	7.84	35.03	3.843	6.74	17.881	0.038	0.047	1.120382939
WWTP	7.84	34.58	3.611	6.69	17.894	0.028	0.058	1.151384354
WWTP	7.83	34.08	4.325	6.77	18.35	0.108	0.036	1.478108768
WWTP	7.8	33.95	4.191	6.85	18.113	0.098	0.052	1.536988973
