Functional_Zone	pH	Salinity	DOC (mg/L)	DO (mg/L)	Temperature	NO3 (mg/L)	PO4 (mg/L)	Total_Antibiotic_Stress
Beach	8.23	27	6.331	9.67	30.8	0.1	0.016	0.794078006
Beach	8.29	21	10.95	9.71	30.9	0.06	0.014	0.632509817
Beach	8.31	24	12.46	9.66	30.9	0.07	0.012	0.548463508
Beach	8.34	21	6.762	9.68	31	0.06	0.015	0.634505113
Beach	8.21	26	15.53	9.78	30.9	0.08	0.01	0.683671146
Mariculture	8.26	26	4.458	10.11	30.4	0.08	0.021	0.723937097
Mariculture	8.32	15	3.433	8.7	30.5	0.13	0.017	0.635034692
Mariculture	8.05	25	10.04	8.1	30.5	0.16	0.037	0.719529471
Mariculture	7.84	20	6.759	8.14	30.6	0.09	0.011	0.664690994
Mariculture	8.35	17	8.201	8.07	30.8	0.03	0.012	0.640712108
Mariculture	8.2	32	7.297	7.48	30.1	0.11	0.021	0.46931871
Mariculture	8.11	33	5.681	7.43	30.2	0.11	0.021	0.646282578
Mariculture	8.16	29	19.6	7.39	30.2	0.09	0.024	0.451984745
Mariculture	8.16	29	13.48	7.45	30.3	0.07	0.028	0.561770318
Estuary	8.01	23	12.97	7.15	31.4	0.38	0.015	0.812572171
Estuary	8.2	21	3.635	7.27	31	0.49	0.016	0.838793335
Estuary	8.22	26	10.93	7.28	31.1	0.49	0.01	0.682346299
Estuary	8.21	26	7.669	7.29	31.2	0.38	0.021	0.520546889
Estuary	7.89	27	6.496	7.31	31.1	0.16	0.023	0.761239067
Port	8.3	32	3.274	9.58	27.8	0.14	0.044	0.776475653
Port	8.29	33	3.322	9.48	27.6	0.13	0.034	0.801038688
Port	8.23	33	3.848	9.56	27.6	0.15	0.017	0.937573803
Port	8.35	25	3.462	9.57	27.8	0.11	0.02	0.694657558
Port	8.24	32	4.005	9.44	27.9	0.13	0.015	1.066282949
Reserve	8.34	30	3.317	8.22	29.4	0.01	0.013	0.70439286
Reserve	8.27	36	19.14	8.26	29.3	0.01	0.02	0.695397344
Reserve	8.33	32	11.29	8.25	29.1	0.01	0.02	0.660462703
Reserve	8.47	25	9.395	8.19	29.5	0.02	0.028	0.531302876
WWTP	7.44	32	3.829	5.7	30.8	0.19	0.022	1.239565757
WWTP	7.9	27	4.238	5.68	30.8	0.12	0.015	1.344473972
WWTP	7.83	24	3.884	5.67	30.6	0.16	0.028	1.299837365
WWTP	7.88	32	4.765	5.65	30.6	0.1	0.051	1.586149056
