Functional_Zone	pH	Salinity	DOC (mg/L)	DO (mg/L)	Temperature	NO3 (mg/L)	PO4 (mg/L)	Total_Antibiotic_Stress
Beach	8.5	27.8	6.11	12.3	6.2	0.008	0.108	0.792111557
Beach	8.49	27.7	6.155	12.26	7	0.008	0.128	0.729828155
Beach	8.52	27.7	5.297	12.64	6.6	0.228	0.12	0.685300088
Beach	8.51	27.7	5.67	12.14	7	0.016	0.082	0.596564369
Beach	8.5	27.8	5.807	12.43	6.1	0.011	0.003	0.608131085
Mariculture	8.08	11.2	19.015	12.6	7.2	2.701	0.098	0.968508248
Mariculture	8.1	8.44	19.468	13.19	7.5	5.555	0.166	1.138184599
Mariculture	8.37	13.7	20.168	13.23	7.2	5.08	0.116	1.332134606
Mariculture	8.42	8.72	19.153	14.99	7.4	8.502	0.14	0.97382982
Mariculture	8.38	8.66	18.007	15.36	7.6	3.181	0.099	0.932345164
Estuary	8.5	27	4.551	12.48	6.2	0.017	0.001	1.690616878
Estuary	8.52	26.8	5.511	12.65	5.5	0.007	0.002	1.902046651
Estuary	8.49	27.6	5.877	12.53	6.3	0.001	0.001	1.558377129
Estuary	8.53	27.2	5.215	12.77	5.6	0.008	0.003	1.805198933
Estuary	8.49	26.9	5.876	12.56	6.1	0.01	0.001	1.560769977
Port	8.49	27.3	6.836	12.38	4.5	0.045	0.152	1.021232108
Port	8.5	28.1	6.532	12.65	4.6	0.025	0.12	1.066124896
Port	8.52	27.8	6.154	12.85	5.1	0.042	0.117	1.022234482
Port	8.5	27.5	4.525	12.56	5	0.027	0.098	1.122619184
Port	8.52	26.9	6.406	12.75	6.8	0.075	0.106	0.872910466
Reserve	8.46	26.9	7.147	13.19	6.1	0.008	0.001	0.899317927
Reserve	8.45	27.3	7.658	12.77	5.9	0.018	0.001	0.810058376
Reserve	8.44	27.6	11.553	12.76	5.7	0.036	0.001	1.108208735
Reserve	8.49	27.7	3.473	12.62	6.3	0.066	0.001	1.067254436
Reserve	8.46	27.2	3.855	12.53	5.7	0.121	0.001	1.083040617
WWTP	8.42	27	8.437	12.39	5.7	0.251	0.079	0.920317919
WWTP	8.44	26.7	7.571	12.58	6.3	0.285	0.093	1.132597461
WWTP	8.44	26.7	8.144	12.71	6	0.357	0.074	0.906966457
WWTP	8.44	26.7	7.348	12.57	6.7	0.327	0.081	0.994754591
WWTP	8.42	26.7	7.878	12.55	6.2	0.245	0.117	1.052779554
