Functional_Zone	pH	Salinity	DOC (mg/L)	DO (mg/L)	Temperature	NO3 (mg/L)	PO4 (mg/L)	Total_Antibiotic_Stress
Beach	8.3	24.5	1.3821	7.36	27.5	0.171	0.189	0.82042983
Beach	8.2	24	1.066	7.29	27.7	0.035	0.318	0.963695063
Beach	8.2	23.8	1.1493	7.16	27.7	0.149	0.453	0.937254487
Beach	8.2	24.4	2.1802	7.03	27.8	0.039	0.19	0.686330358
Beach	8.3	23.9	1.1783	7.2	28	0.085	0.239	0.751038948
Mariculture	8.3	24.4	1.3169	8.93	28.2	0.009	0.267	1.164300872
Mariculture	8.3	24.7	0.6398	9.06	28	0.009	0.332	1.121076986
Mariculture	8.4	25.1	0.8786	9.33	28.3	0.01	0.238	1.11828337
Mariculture	8.4	25.1	0.9713	9.24	28	0.01	0.332	0.943111108
Mariculture	8.2	23.2	1.8028	9.07	30.7	0.099	0.211	1.05441556
Estuary	8.1	24.1	1.5084	7.64	29.5	0.075	0.218	1.110434056
Estuary	8.2	24.3	1.6302	8.02	28.2	0.201	0.151	1.374576225
Estuary	8.2	24.2	0.5761	8.03	28.9	0.069	0.272	1.231762933
Estuary	8.3	24.3	0.08	8.27	27.8	0.005	0.32	1.169682107
Port	8.6	19.6	3.0857	20.18	30.8	0.498	0.134	0.728022976
Port	8.7	18.2	3.1053	20.18	30.8	0.619	0.142	0.962311536
Port	8.9	20.6	1.564	19.24	30.3	0.34	0.222	0.580564598
Port	8.9	21.8	2.0787	21.94	30.1	0.087	0.235	0.836018704
Port	8.3	24.6	2.2215	8.92	28.7	0.009	0.245	0.96763097
Reserve	8.2	23.1	1.7373	8.94	31.3	0.104	0.308	0.8048296
Reserve	8.2	23.4	1.79	9.21	31.6	0.094	0.273	0.660840209
Reserve	8.2	23.6	1.5619	10.99	31.1	0.081	0.293	0.845798933
Reserve	8.2	23.4	1.685	10.34	31.6	0.086	0.2	0.880319894
Reserve	8.1	23.5	0.6984	7.67	27.8	0.02	0.209	0.754762782
WWTP	8.2	24.3	0.9544	8.19	28.5	0.183	0.223	1.168224076
WWTP	8.2	24.6	1.0662	8.38	28.4	0.143	0.262	0.854267731
WWTP	8.2	24.8	1.0615	7.56	28	0.051	0.273	0.644153907
