"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19"
"HKDryMB1",-1.16923573599602,-0.594967471610579,-0.00750655961868491,-1.04667842854399,-0.159911371292344,-0.127659385473096,-0.0719766930428141,-0.26988962853392,-0.0310513582860118,0.285973324767374,0.411467997420205,-0.119954356098868,-0.214141216779073,0.114828355932823,0.00534091769390826,0.0148434349206669,0.057002476048468,0.0478027538282149,0.0288675470976815
"HKDryMB2",-1.12138190168259,-0.23205724414797,-0.065558454721992,-0.985437198864531,0.0809533200539196,-0.0097686699130805,-0.0948689343156787,-0.219202825487087,0.521298042878798,-0.144017842156395,-0.0529376680686665,-0.0148579118286124,-0.273406596998517,0.0147088629796192,0.124773451057216,0.145244667384727,0.20674940026663,0.00177765714709457,0.000286741353146822
"HKDryMB3",-1.15109732151136,-0.387804041338181,-0.186122015128609,-0.807854084899475,0.0344143885808086,-0.0820497032402223,-0.232990794050345,0.135648839487426,0.228873408950004,0.177996711010828,0.179486332754002,0.0162218701760549,-0.0856142919613986,0.0541913843378937,0.191234310548453,0.0470243257681613,0.0388315463697334,0.013025336986444,-0.0291532705772015
"HKDryMB4",-0.80502759598865,-0.374327713982191,-0.357246941340508,-0.258140418853152,0.0861486899385393,-0.0854357700864998,-0.396975890516781,0.559160798241758,0.13452637524356,0.224157203669398,-0.109655768505967,-0.226781836689614,-0.310913679378607,0.200412830251229,0.268300811660187,0.0916099831195845,0.13698416599825,0.0903066483303551,0.00766703584186115
"HKDryMB5",-1.23532759043588,-0.39316585527046,-0.0692594213220141,-1.23176273024739,0.0887072864653617,0.00775952771407065,-0.164762043379812,-0.300917985230038,0.454006208319376,0.342711319010794,0.552625794356669,-0.264364084360182,-0.206888810297156,0.108463462771907,0.167409253538378,0.0898830801019168,0.14076368888288,-0.0570106896854112,0.0167329023295691
"HKDryMCLM1",-0.877481125330998,-0.257346795843205,-0.233859908712164,-0.384418020441889,-0.017382543831123,-0.0733624481253255,-0.268361814312276,0.355411766146566,0.0870144032264592,0.095472111045315,0.0702211985245355,-0.25578829223657,-0.234952828229784,0.0563075787445407,0.127383066862592,-0.0369420878322582,0.116924928370346,-0.146133889965619,-0.00723987325335883
"HKDryMCLM2",-0.939013698977711,-0.222066697064766,-0.0955354276203199,-0.822568891891412,-0.0960488398766705,-0.116101570374367,-0.118843635013761,-0.113814513700956,0.101474895177878,0.08724480027764,0.306662866730718,-0.396709199050714,-0.307292638879211,0.186829045256316,0.0726298958084622,0.00898686543111677,0.0722327177599977,0.0399339661505271,0.0403618776057132
"HKDryMCLM3",-1.14167090628599,-0.365039853972516,-0.0596176642258691,-0.783403236714634,-0.139387850844251,-0.0893566411205886,-0.17563686580586,-0.0109351096622745,-0.129411376165722,0.282933261029044,0.407658292064646,-0.329737108976098,-0.0662673811141989,0.128792951335451,0.0431963721540824,-0.0560459748013073,0.0304432309742922,-0.0799478265938026,0.0326865925297438
"HKDryMCLM4",-0.716141703442333,-0.145719093829851,-0.270498780380481,-0.168151209494841,-0.0376087743519458,-0.112828798848718,-0.372473010332185,0.544521151421585,-0.0985369745099409,0.196363561750947,-0.403907557845754,-0.360328204374964,-0.177540570234001,0.109924533315219,0.189641141656569,-0.0180143443381387,0.162048305836197,0.007849884711698,0.033482039744993
"HKDryMCLM5",-0.908966796050536,-0.114895637145989,-0.237931597683212,-0.449344404629457,0.0599574276392044,-0.0704901421123408,-0.338952598275662,0.444013256474245,0.0522614280688056,0.184410693628005,-0.0139796329756307,-0.259305123828778,-0.155707430348895,0.0596081455916856,0.253014042767016,0.00591811527842038,0.202650634278992,-0.11131250900022,0.00998957868048571
"HKDryMCSK2",-1.15807898752085,-0.365363099020321,-0.334807267282064,-0.892906138677021,0.205109759718331,-0.0785756383306197,-0.226918522409762,0.0554392587998157,0.570497162597097,0.176921103771238,0.150815580743207,-0.188439536860461,-0.383724616738848,0.162605284687662,0.220762727097078,0.225726942645541,0.141772979435324,0.004568401801373,0.0166323962968945
"HKDryMCSK3",-1.22887435346767,-0.71777581345122,-0.188131791723341,-1.11107225922782,0.0164895724176026,-0.101181023225681,-0.153986676264258,-0.193055856723602,0.411939906156145,0.445934345581573,0.624366241608084,-0.114081739157166,-0.315010030590083,0.199663537967596,0.127336769414077,0.179983226300855,0.157195817651135,-0.00151658174614041,0.00433726787644983
"HKDryMCSK4",-1.16954421621235,-0.75954380720036,-0.210387938981709,-0.745514749246127,0.00394876612374361,-0.0485208952128493,-0.285893206879997,0.204317813183131,0.0402168935169137,0.597413447716736,0.675120866999697,-0.129399185336581,-0.315901954516413,0.209266539577178,0.196288510130685,0.126893207378136,0.121720597902312,-0.0623485019985452,-0.00651702051182229
"HKDryMCSK5",-1.34745844478028,-0.654141335205935,-0.112827405445019,-1.20566378322807,-0.0479045911943532,-0.114661951284005,-0.0809101453680698,-0.324555188825104,0.354687986662714,0.401810738700166,0.593112718447412,-0.0883989018750788,-0.213082093551794,0.15433233609203,0.116234692719623,0.0996288863038026,0.0955182161951629,-0.0572252853791309,0.00984442843560955
"HKDryME1",-1.30516947372221,-0.0550130226132482,-0.501215798844785,-0.122433738042398,0.274475420254426,-0.224249821373188,0.111312955849501,-1.37852125132415,-0.13483771625012,0.363677202662297,0.387484899797839,0.201396732077769,0.433941992668602,-0.123103724588734,-0.168433805975902,0.0356857772791751,-0.168813423696121,-0.0601023957373918,-0.00739522424883255
"HKDryME2",-1.37950101936462,-0.413233792752873,0.0611959975735347,-0.360458423403233,-0.783722902376625,-0.360400639943448,0.29416872401614,-0.554803530329015,0.403945944338934,0.133617000847282,0.0997744713489618,-0.375663800528033,0.250423028905331,-0.111417356064568,-0.0271950405926713,-0.0185225798396406,-0.338863634208385,0.0554721033052354,0.000907727227492718
"HKDryME3",-1.17834588596877,0.178873108333875,-0.866445022724106,0.168665832829003,0.899555431736701,-0.134491245475378,-0.0692248384852212,-1.60974179423333,-0.480856676349774,0.597081426680051,0.450261170391274,0.438894088364756,0.453719323644316,-0.130155257903714,-0.162153655438738,0.0504951238226364,-0.122390250045496,-0.0397635627744,0.0202523896726852
"HKDryME4",-1.48158142269573,-0.539077770873438,0.122690535218422,-0.997707635099628,-0.273334862929094,-0.145496651065004,-0.0421558397074305,-0.344604805905165,-0.279162348325684,0.223260216738929,0.435572991568544,-0.26220711022757,0.333777564670422,-0.146145983440467,-0.228968411023155,-0.107432146503223,-0.212829251062141,0.00197530078578854,0.0164131174510292
"HKDryME5",-1.24274172114496,0.109113553605777,-0.578461349730408,-0.254210858626818,0.523672522662424,-0.167067627640942,0.0294760899167814,-1.25344462270607,-0.0927379142595096,0.177434692366263,0.12661491370355,0.263040039521875,0.253562621211879,-0.109575769634625,-0.104454038091303,0.0604090782497576,-0.0536690649949287,-0.0613694637176378,0.0153599880053567
"HKDryMP1",-1.24885412173655,-0.135813586376533,0.158553828518397,-0.866967821916364,-0.202302903890784,0.00765462433934209,-0.0482442325426372,-0.268981926356939,-0.040874489462528,0.0164230578207769,0.485284073067031,-0.350266177555613,0.0471031495543622,0.00203247306256068,-0.0186996784009338,-0.0500278130193153,-0.168011319858841,-0.0528437938527117,-0.0121548730791748
"HKDryMP2",-1.19928746056294,-0.418180466986985,-0.0856912229910799,-1.09698044320655,-0.139108611773006,-0.166617056213424,-0.106902912031432,-0.365578174960672,0.350988105088451,0.232442075828035,0.364309905485746,-0.319525325950706,0.094088444034055,0.131880530372282,0.0145299126775529,0.0310353249204088,0.0129010671148103,-0.0224692467760698,-0.0576622084660649
